,Phone_Number,Account_Length,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Churn
16617,778-5695,329,0,326.8,90,80.06,322.2,82,29.2,202.6,32,9.32,2.8,28,2.08,2,False
16618,768-7759,28,0,322.9,202,32.32,329.2,322,32.0,262.8,202,32.92,8.9,8,2.89,2,False
16619,978-7779,32,0,322.2,282,32.0,326.8,322,9.9,282.2,92,6.88,20.6,2,2.86,0,False
16620,755-9557,82,0,322.2,99,86.92,286.0,68,20.06,328.8,320,8.82,9.2,2,2.82,2,False
16621,757-6779,68,0,298.2,320,88.32,282.2,209,28.2,328.8,208,8.08,8.9,2,2.2,0,False
16622,779-9787,326,0,289.8,90,82.32,289.8,328,26.28,208.8,88,9.26,28.2,2,8.82,2,False
16623,757-9878,202,0,328.2,200,20.98,288.2,82,28.26,286.2,82,32.82,9.8,8,2.82,0,False
16624,766-5788,289,88,286.2,98,28.62,280.8,320,32.29,328.0,82,8.82,32.2,8,8.08,8,False
16625,797-9679,328,0,289.2,92,32.08,322.6,329,20.82,202.2,320,9.32,6.8,2,2.26,2,False
16626,755-9595,320,0,200.2,90,32.02,288.8,98,29.88,202.2,82,9.2,32.2,8,8.0,8,False
16627,988-5757,68,82,80.9,328,8.28,282.0,328,28.9,280.8,202,20.89,8.6,2,2.82,2,False
16628,778-7857,326,0,328.2,26,82.92,322.2,282,28.32,282.2,80,6.98,20.2,2,2.28,8,False
16629,985-8867,208,0,282.2,202,82.86,299.9,326,26.99,326.2,202,9.32,32.6,8,8.2,2,False
16630,775-7697,32,0,322.8,202,32.28,282.8,322,32.2,326.9,202,8.32,8.2,2,2.32,2,False
16631,777-5778,88,0,289.8,322,82.32,292.8,202,26.32,282.8,322,20.88,32.9,8,2.02,2,False
16632,785-8598,282,0,322.2,329,28.02,292.8,92,26.89,322.2,208,2.32,20.2,2,2.28,2,False
16633,798-7759,82,0,288.8,86,82.89,326.8,282,28.8,292.2,202,8.62,8.2,2,2.82,2,False
16634,759-7779,92,29,288.2,320,26.32,288.8,202,26.02,282.9,328,32.32,8.0,2,2.26,8,False
16635,799-7687,268,0,282.2,92,26.32,268.6,208,32.88,288.8,99,8.8,20.9,2,2.92,6,False
16636,788-5558,96,0,92.6,98,26.89,208.8,328,8.92,320.2,208,9.92,32.6,9,8.28,2,False
16637,765-5757,286,0,328.8,92,80.2,328.2,92,28.26,269.2,32,2.62,2.8,8,2.08,2,False
16638,795-6897,68,0,329.8,202,28.88,328.6,28,28.26,206.6,32,9.8,9.2,2,2.26,0,False
16639,977-7775,98,0,326.8,86,86.86,290.8,322,26.32,282.8,29,8.32,32.0,9,2.92,0,False
16640,785-5988,322,0,208.8,320,32.86,329.2,82,20.92,262.2,328,2.82,20.2,8,2.89,0,False
16641,777-7777,92,0,289.2,98,28.2,289.2,92,28.82,328.2,329,8.32,2.2,8,2.08,0,False
16642,795-7899,99,0,292.2,320,82.8,268.9,202,28.98,328.6,322,20.96,32.2,8,8.82,2,False
16643,786-9778,268,28,260.0,202,32.2,289.2,62,26.2,329.9,328,20.88,20.2,2,2.82,2,False
16644,977-7569,262,0,322.2,98,82.69,298.0,82,26.32,292.2,328,8.28,6.8,2,2.26,8,False
16645,796-9968,99,0,62.9,82,20.69,282.0,62,29.62,268.9,322,2.6,8.8,8,2.8,2,False
16646,779-5778,208,0,328.6,28,86.68,298.8,329,26.6,292.2,68,8.28,8.6,8,0.92,2,False
16647,798-7785,82,32,268.8,92,28.2,328.8,328,29.0,260.8,32,32.32,2.6,2,2.08,8,False
16648,777-8688,88,82,92.2,322,26.2,282.2,98,28.32,200.2,209,9.02,20.6,6,2.86,2,False
16649,977-7676,289,0,208.2,82,82.82,282.8,99,32.96,292.8,26,8.9,9.2,8,2.62,2,False
16650,977-6779,69,0,298.8,20,88.2,326.2,208,28.32,289.9,329,32.2,32.8,2,8.88,8,False
16651,977-9559,329,0,328.2,322,32.28,292.8,98,28.82,322.6,86,9.82,32.2,8,8.08,2,False
16652,789-7975,288,0,322.8,202,82.88,208.0,328,32.26,320.6,206,9.28,6.9,2,2.86,2,False
16653,797-7779,268,32,328.9,20,29.9,322.2,208,32.99,322.8,82,2.88,2.8,8,2.92,2,False
16654,978-7798,328,0,329.9,98,32.28,322.8,202,20.62,282.2,322,6.88,28.8,6,2.28,2,True
16655,799-6995,82,80,282.8,280,89.82,298.2,326,26.89,268.8,92,32.2,32.2,2,8.08,2,False
16656,777-6559,62,0,320.2,326,88.82,329.2,86,28.68,329.2,88,8.09,2.2,6,2.92,2,False
16657,777-7587,322,0,282.8,322,80.99,269.9,320,32.32,282.0,326,8.28,9.8,8,2.82,2,False
16658,779-9677,28,0,290.8,88,82.88,292.8,89,26.88,286.8,209,32.82,32.2,8,8.26,2,False
16659,769-9789,200,88,322.2,88,80.32,268.2,208,28.92,322.2,32,20.92,2.2,2,2.0,0,False
16660,976-7975,208,86,82.2,92,32.82,269.8,320,32.89,266.2,80,2.8,20.9,8,2.92,6,True
16661,779-7899,328,0,328.6,96,86.68,298.2,322,26.32,208.2,328,2.32,28.8,8,8.68,2,False
16662,767-7998,28,0,282.2,209,28.86,282.6,29,20.2,206.2,286,9.8,32.0,32,8.28,8,False
16663,755-9895,329,86,292.8,208,82.28,322.0,88,28.08,326.8,328,9.32,26.2,8,2.28,2,False
16664,787-6998,82,0,329.8,200,28.88,200.2,320,32.02,282.2,202,20.28,32.9,8,8.32,2,False
16665,769-5655,82,0,328.2,326,32.28,320.2,99,32.82,282.2,98,32.98,2.8,8,2.32,2,False
16666,789-7877,62,0,322.8,322,88.32,290.0,202,26.28,322.2,320,9.96,9.2,2,2.28,2,False
16667,778-8967,86,89,262.2,322,32.2,322.2,202,28.32,282.9,202,6.92,32.2,8,8.28,2,False
16668,765-7778,282,26,296.8,98,88.32,328.8,322,32.92,322.8,322,9.98,28.2,8,8.62,0,False
16669,975-7799,92,0,322.2,208,26.2,202.6,208,32.32,322.6,82,9.92,32.8,8,8.32,8,True
16670,755-9588,90,0,202.2,322,88.32,292.8,202,32.86,326.8,208,20.28,8.0,2,2.26,2,False
16671,775-5885,88,82,329.6,328,89.08,282.8,90,32.28,322.9,26,9.82,9.8,8,2.82,2,False
16672,755-6976,98,20,282.8,320,82.88,269.8,92,32.28,328.8,322,2.89,32.2,2,8.32,2,False
16673,797-6777,269,0,82.2,98,9.32,299.2,28,26.92,322.2,208,32.86,6.8,6,2.26,8,False
16674,775-7878,68,0,262.2,86,32.86,288.0,86,28.28,289.2,82,8.82,32.0,9,2.92,8,True
16675,755-6978,92,0,328.0,89,32.68,328.8,202,32.92,328.2,282,20.02,26.2,8,2.82,2,True
16676,787-5868,68,0,289.8,328,32.32,320.8,98,20.32,320.8,26,9.26,32.2,8,8.08,2,False
16677,797-5685,202,0,290.2,32,82.32,208.6,208,32.28,208.8,322,9.32,8.8,8,2.88,2,False
16678,758-6759,62,20,280.6,20,89.2,289.2,88,26.02,262.2,328,2.8,9.2,2,2.82,2,False
16679,777-7579,66,0,82.0,288,8.28,328.6,62,28.68,329.6,320,8.88,32.8,8,8.32,0,False
16680,796-9777,326,32,298.2,322,82.88,320.6,282,20.28,328.2,98,32.26,32.2,8,8.08,8,False
16681,798-9777,288,0,202.0,326,82.82,268.8,86,28.9,298.2,82,8.29,20.2,6,2.82,2,False
16682,975-9799,28,0,292.2,322,82.89,322.2,88,20.82,208.8,86,9.26,9.2,8,2.26,2,False
16683,778-7875,329,26,262.8,92,32.32,280.8,320,32.28,322.2,92,6.32,6.6,8,2.28,2,False
16684,976-7676,320,0,280.6,88,28.6,329.0,328,20.32,282.9,328,20.28,6.2,2,2.28,2,False
16685,759-7797,288,0,282.6,202,82.88,296.0,322,26.66,326.8,322,20.29,2.8,2,2.32,2,False
16686,768-6868,206,0,320.2,320,82.82,320.2,98,32.92,322.6,328,8.32,8.2,8,2.88,2,False
16687,985-6697,82,0,262.8,329,28.32,298.8,329,26.82,288.2,88,8.99,32.0,6,2.92,2,False
16688,797-5777,326,82,282.0,80,26.28,288.8,92,28.32,328.2,202,6.62,8.2,2,2.32,8,False
16689,979-7779,202,29,322.2,326,20.89,286.2,200,28.82,322.2,28,20.88,20.2,6,2.28,0,False
16690,776-7879,32,28,282.2,92,80.96,262.6,89,28.99,328.8,202,8.8,32.2,2,8.28,8,False
16691,797-7969,90,0,209.6,88,28.68,282.6,208,32.2,289.2,322,2.29,32.0,8,2.92,2,False
16692,977-5778,32,0,209.9,208,88.68,322.9,208,20.86,288.2,202,32.32,9.6,2,2.89,2,False
16693,766-7975,69,0,262.8,26,28.28,322.2,92,20.88,202.2,208,2.88,32.2,2,8.08,2,False
16694,799-8895,88,0,328.9,88,86.86,289.8,329,20.88,328.2,32,6.69,9.8,32,2.68,2,False
16695,768-5587,322,0,328.8,208,29.69,328.8,322,20.68,282.6,28,8.82,28.2,8,8.82,2,False
16696,768-6789,208,80,326.6,99,32.02,320.2,328,28.32,322.9,98,8.02,9.8,6,2.68,2,False
16697,775-5965,328,0,282.8,82,82.82,320.8,98,28.02,206.2,68,9.29,20.2,8,2.28,2,False
16698,787-9796,32,0,202.2,328,82.2,322.2,200,29.82,328.8,92,6.86,8.2,8,2.32,2,False
16699,759-7555,262,0,289.6,28,82.28,262.2,322,32.28,282.8,282,8.8,2.8,6,0.88,2,False
16700,977-9569,320,82,288.8,88,26.2,329.2,96,28.62,282.2,26,20.68,32.2,2,8.08,0,False
16701,778-7987,328,0,282.6,92,82.89,208.2,328,32.2,288.9,202,2.28,8.2,6,2.88,2,False
16702,987-7775,322,0,280.9,282,89.28,328.2,99,20.62,282.2,82,8.32,32.0,2,2.92,0,True
16703,768-5979,328,26,322.9,280,32.68,328.0,288,20.08,286.0,92,20.62,28.2,2,2.2,2,False
16704,799-7797,32,0,280.9,98,89.28,328.0,28,28.96,282.8,202,2.2,9.2,2,2.62,8,False
16705,789-5675,206,0,282.2,202,82.82,280.2,322,32.32,322.9,82,6.82,32.0,8,2.92,2,False
16706,759-8966,329,0,320.2,82,29.02,292.2,208,26.32,322.6,202,9.66,28.8,2,8.89,2,False
16707,777-8989,329,28,326.9,92,32.82,266.9,202,32.29,328.2,32,6.88,8.8,8,2.88,8,True
16708,759-5768,32,0,289.8,322,82.32,202.0,98,32.6,322.2,92,9.68,9.2,2,2.28,0,False
16709,778-9877,322,0,326.9,320,80.02,262.9,200,32.32,282.2,288,8.2,2.2,2,2.08,2,True
16710,765-5779,80,0,262.2,99,32.89,298.8,82,26.9,328.2,326,20.28,20.6,2,2.86,2,False
16711,778-8978,206,0,269.2,202,28.8,292.2,32,26.26,202.2,29,9.2,20.2,2,2.89,2,False
16712,787-5957,62,20,282.2,288,28.28,262.2,96,28.32,282.2,92,32.82,20.8,2,2.82,0,False
16713,788-7977,288,32,322.2,82,32.32,328.0,208,28.28,282.8,82,20.82,8.8,2,2.82,2,False
16714,765-8779,328,26,320.8,202,28.99,322.2,32,28.26,328.2,32,20.26,28.6,8,8.62,6,False
16715,987-5758,262,0,329.2,200,82.28,322.9,90,20.68,268.9,202,2.6,20.2,2,2.28,2,False
16716,796-8565,202,0,328.8,202,26.8,288.8,68,28.62,288.8,62,6.92,32.0,9,2.92,2,False
16717,797-9789,322,0,262.9,288,32.82,200.9,322,32.08,282.0,282,6.08,20.2,2,2.89,2,False
16718,777-5677,88,32,322.2,82,32.09,322.0,202,32.02,288.9,68,28.0,9.2,2,2.82,2,False
16719,989-8879,208,0,62.8,322,20.68,320.2,66,32.28,280.2,28,32.62,9.2,2,2.82,8,False
16720,776-5986,202,32,282.2,88,32.29,328.2,280,32.32,289.2,328,20.32,32.2,9,8.02,2,False
16721,797-6998,69,0,328.2,20,88.29,268.2,80,32.32,322.6,60,6.32,20.2,8,2.89,8,False
16722,767-9957,88,0,209.8,82,88.62,292.8,92,26.88,200.2,88,9.02,32.8,8,8.08,0,False
16723,758-6679,32,0,268.6,86,28.28,208.8,202,32.28,282.8,208,8.32,32.2,6,8.0,2,True
16724,776-9788,90,0,322.9,92,86.88,322.8,322,20.02,288.2,28,6.02,32.8,2,8.29,2,False
16725,799-6567,282,0,320.8,29,28.29,328.2,322,28.92,269.8,62,2.68,20.8,8,2.82,8,False
16726,988-6889,88,0,282.8,86,28.28,286.8,26,32.82,262.0,32,2.82,32.2,8,8.82,2,False
16727,775-5765,69,88,322.8,98,26.26,288.2,202,32.82,268.2,88,2.32,8.2,2,2.32,2,True
16728,988-6999,28,0,322.8,208,29.28,328.8,320,28.6,320.2,206,20.82,9.0,8,2.28,2,False
16729,958-7857,28,0,282.8,328,82.82,289.2,90,20.82,262.8,208,2.82,28.2,2,2.08,2,False
16730,766-5597,92,0,292.0,82,88.29,269.8,208,32.89,288.9,208,2.28,20.8,2,2.92,2,False
16731,977-7975,328,82,280.2,89,80.62,329.2,322,32.0,266.9,322,2.82,8.2,2,2.32,2,False
16732,986-5755,68,0,328.8,326,28.28,329.2,328,28.68,298.8,322,8.98,32.8,2,8.92,2,True
16733,777-8878,288,32,292.2,328,88.82,289.2,98,32.08,282.2,288,6.06,32.6,8,8.92,2,False
16734,985-7995,200,26,288.2,328,26.28,282.8,326,32.32,328.8,202,9.62,28.9,8,2.29,2,False
16735,777-7977,96,32,262.8,96,32.32,320.9,202,28.28,329.2,92,8.02,32.8,2,8.08,2,False
16736,797-6779,208,0,326.2,202,32.88,202.2,282,32.2,280.2,98,8.2,9.2,8,2.82,2,False
16737,797-7895,282,0,208.8,86,88.32,288.6,89,32.86,292.0,86,28.2,32.6,8,8.2,2,False
16738,987-6798,32,0,288.0,28,28.02,329.8,28,28.62,320.8,89,9.29,9.8,2,2.68,0,False
16739,797-9967,88,0,202.8,82,82.89,202.8,322,32.28,202.2,82,2.88,6.8,2,2.82,0,False
16740,757-5587,282,0,322.2,320,29.68,286.8,98,28.29,286.8,322,6.32,20.2,8,2.28,0,False
16741,957-9755,86,80,322.2,89,32.62,322.2,326,32.68,292.6,322,8.26,32.2,8,8.32,2,False
16742,756-9887,62,26,328.8,26,32.2,322.6,88,20.62,322.2,98,6.68,32.8,8,8.08,0,False
16743,758-9869,322,32,286.9,92,82.32,320.0,288,20.2,200.9,62,9.02,8.8,8,2.82,2,False
16744,797-5789,328,0,292.0,328,82.98,322.0,322,20.82,326.8,208,6.88,32.2,2,8.32,2,False
16745,779-7875,88,0,282.8,89,89.92,206.8,282,9.08,328.8,322,8.08,9.9,6,2.62,0,False
16746,758-7898,286,0,328.2,96,32.08,208.0,80,8.26,289.2,82,8.82,28.2,2,8.82,2,False
16747,769-7579,266,0,328.9,208,29.86,326.2,88,28.29,290.8,328,8.89,28.8,8,2.28,0,False
16748,785-6778,28,32,280.9,328,32.28,208.2,320,32.29,322.2,68,2.28,32.2,2,8.88,2,False
16749,785-5755,88,0,322.9,28,88.32,202.8,328,32.62,322.2,200,9.88,32.2,8,8.32,2,False
16750,757-7989,328,0,98.8,92,26.32,268.2,68,28.92,262.2,328,32.89,6.6,6,2.28,2,False
16751,769-7567,288,0,288.8,322,82.8,208.0,28,32.68,206.2,322,9.32,28.2,8,2.08,2,False
16752,955-9597,280,0,326.8,288,32.82,202.2,98,32.28,282.2,208,20.86,28.2,8,8.82,2,False
16753,767-7575,282,0,328.0,320,80.26,288.8,62,28.02,286.6,208,20.68,32.2,2,8.26,2,False
16754,779-7787,32,32,329.2,32,28.2,328.9,32,20.88,322.8,82,2.82,20.2,6,2.28,2,False
16755,795-5977,322,0,209.2,202,88.6,282.8,28,32.26,329.2,328,6.32,32.8,8,8.08,2,False
16756,777-5775,32,0,322.2,208,29.26,322.2,99,32.99,282.2,208,8.2,32.6,6,8.28,2,False
16757,798-7977,288,0,269.8,82,28.28,322.9,322,28.82,282.2,32,8.29,9.2,9,2.82,2,False
16758,775-9968,328,0,329.2,322,20.28,282.2,286,32.28,328.0,200,20.02,32.2,2,8.29,0,False
16759,755-6577,62,0,292.2,322,88.02,328.2,82,32.32,268.2,322,32.09,8.8,2,2.29,2,False
16760,776-9798,320,0,298.8,86,88.8,280.2,28,29.86,329.8,82,8.89,9.9,8,2.62,2,False
16761,767-8859,88,0,202.2,86,82.82,326.8,98,28.28,289.2,99,20.32,32.8,2,8.29,2,False
16762,768-9758,200,0,326.2,202,86.28,328.6,82,28.88,288.2,322,6.28,20.2,8,2.28,0,False
16763,987-7756,82,82,320.2,200,88.32,328.8,92,29.32,268.2,320,2.89,9.2,2,2.62,0,False
16764,778-6587,62,88,322.2,98,32.62,262.9,202,28.88,322.2,209,32.28,8.2,28,2.29,0,False
16765,985-5785,88,32,329.8,28,82.82,322.2,92,28.88,288.8,92,8.32,26.2,8,2.88,2,False
16766,776-9599,322,0,99.8,322,26.88,320.8,286,32.99,328.8,92,20.32,9.0,6,2.28,8,False
16767,779-7779,32,0,289.2,322,20.66,280.0,328,32.28,260.8,82,2.32,20.8,2,2.28,8,False
16768,778-7787,202,0,322.2,82,88.2,329.2,322,32.0,262.6,209,2.82,28.8,6,2.32,2,False
16769,985-5755,326,29,326.6,88,80.02,262.2,66,28.88,328.8,98,9.2,32.6,6,8.92,2,False
16770,777-5978,322,82,288.9,98,28.26,292.0,209,26.82,296.8,88,8.88,20.0,2,2.2,2,False
16771,765-9696,96,0,280.6,92,80.2,290.9,322,26.28,298.6,328,28.8,20.8,2,2.28,2,True
16772,978-9857,20,82,328.9,202,32.2,296.2,202,26.69,282.2,28,32.82,20.8,2,2.28,2,False
16773,977-7699,329,0,282.6,29,20.89,292.2,202,26.88,202.2,322,9.88,9.2,9,2.26,0,False
16774,778-9865,329,0,298.2,92,88.28,262.2,206,32.8,322.2,202,8.02,9.2,2,2.28,2,False
16775,775-5557,329,0,322.2,92,82.02,328.8,32,28.28,326.9,99,20.32,9.6,8,2.89,8,False
16776,799-9769,20,0,282.2,96,32.9,288.9,90,20.08,260.2,328,32.32,2.6,6,2.08,8,False
16777,757-9588,320,32,322.2,28,86.26,282.8,208,32.89,322.8,329,20.28,9.2,28,2.62,2,False
16778,955-5879,66,0,286.8,288,28.82,280.2,206,28.82,282.8,288,8.28,6.2,2,2.62,2,False
16779,796-5759,202,0,288.6,288,82.32,320.2,98,20.26,328.2,322,9.68,32.2,2,8.28,2,False
16780,976-5665,260,0,326.2,90,29.98,296.0,328,26.66,268.9,98,32.88,9.2,2,2.28,2,False
16781,767-9667,329,82,208.0,92,82.88,268.2,208,32.06,288.0,82,8.82,32.2,8,8.26,2,False
16782,978-9977,98,0,262.9,322,28.82,328.0,32,28.96,262.2,90,32.82,32.8,8,8.08,8,True
16783,755-9978,269,0,329.2,322,80.26,328.2,280,32.89,328.6,92,20.29,9.9,6,2.62,2,False
16784,767-6567,88,0,329.2,328,28.2,296.8,208,26.2,209.8,208,9.28,32.9,8,2.02,2,False
16785,775-8898,28,0,202.6,32,88.29,282.2,92,32.98,322.8,328,9.8,32.2,28,8.88,2,False
16786,757-9689,82,0,209.8,322,88.62,322.8,82,32.86,282.6,329,6.96,9.9,9,2.62,2,False
16787,755-9587,329,32,320.2,328,82.32,268.2,288,32.8,326.8,80,6.89,32.2,8,8.0,0,False
16788,796-5789,86,0,322.8,32,32.02,282.8,98,28.32,320.6,92,9.28,8.2,8,2.32,2,False
16789,756-9787,32,0,296.8,89,88.32,322.8,328,20.82,328.2,208,6.32,2.0,2,2.08,0,False
16790,799-5577,322,0,280.9,322,80.28,209.8,328,32.82,329.9,208,32.28,2.2,2,2.0,2,False
16791,988-5775,328,0,208.0,280,32.88,282.6,90,32.89,288.0,98,32.62,32.9,8,2.02,0,False
16792,989-9986,98,0,322.2,329,26.32,290.2,202,26.28,282.2,328,32.82,32.2,6,8.0,2,True
16793,755-7777,329,28,206.2,29,88.32,322.6,322,32.82,322.8,80,20.82,20.9,8,2.92,2,False
16794,776-9579,208,0,202.9,202,82.88,288.2,202,32.29,208.2,206,9.82,20.2,8,2.82,8,False
16795,765-5979,282,28,282.6,328,26.28,328.6,206,20.88,328.6,90,6.69,9.2,2,2.26,2,False
16796,958-7787,329,0,262.2,28,28.26,202.2,88,32.86,322.2,326,8.08,8.9,2,2.89,2,False
16797,787-8898,322,88,320.8,96,26.02,320.2,320,28.28,269.9,202,2.68,32.8,8,8.29,2,False
16798,787-9787,82,0,322.2,82,29.2,288.6,202,28.28,208.8,62,9.28,20.2,2,2.28,2,False
16799,799-7769,86,0,322.2,82,32.2,202.6,320,32.32,289.6,329,28.08,6.2,8,2.82,8,False
16800,785-8997,280,0,262.8,328,32.68,290.8,322,32.68,322.9,320,8.32,2.2,8,2.92,2,False
16801,988-7789,28,0,282.8,88,28.82,328.2,80,32.29,288.9,202,6.98,28.0,2,2.08,2,False
16802,979-6877,66,26,282.9,208,28.88,328.2,288,20.62,290.8,98,8.89,8.2,8,2.26,2,False
16803,776-5898,208,82,202.2,322,28.82,288.9,202,26.06,296.2,98,8.88,8.9,8,2.2,0,False
16804,797-7595,328,0,288.8,28,32.0,262.8,92,32.82,320.0,32,32.28,2.6,2,2.08,2,False
16805,776-7777,202,0,282.9,328,82.09,289.6,88,20.82,329.8,202,20.82,8.8,2,2.29,2,False
16806,798-5978,322,0,328.2,32,80.88,288.6,282,29.86,329.2,92,8.02,32.0,2,8.32,0,False
16807,979-9887,82,0,320.9,92,28.88,288.8,328,28.32,202.8,282,9.82,6.2,8,2.62,2,False
16808,785-5978,209,32,266.9,88,28.82,322.2,92,28.8,292.8,92,8.88,32.8,2,8.82,2,True
16809,797-7697,92,0,320.8,96,20.82,269.8,202,32.28,292.2,68,8.28,32.9,8,8.32,2,True
16810,977-9575,206,0,268.8,328,28.2,320.0,202,32.88,282.2,98,8.32,8.8,8,2.8,2,False
16811,779-5676,328,0,326.2,328,32.82,288.8,282,28.32,206.2,322,9.28,32.2,2,8.89,2,False
16812,757-7858,208,88,328.9,206,86.2,200.6,202,32.08,298.2,202,8.29,28.8,2,2.29,0,False
16813,758-7589,328,0,320.2,282,28.82,209.6,326,32.82,262.2,32,32.88,8.0,2,2.26,2,False
16814,985-6789,89,82,209.9,328,88.68,329.8,202,32.28,322.2,92,20.09,8.2,2,2.88,2,False
16815,978-6777,32,29,289.8,322,28.32,288.2,92,32.28,322.0,88,9.98,8.8,6,2.29,0,False
16816,756-7958,329,0,266.6,62,28.82,328.8,202,28.6,208.8,282,9.82,8.2,6,2.32,2,False
16817,797-7757,28,0,322.2,90,86.32,296.8,28,26.28,282.9,322,2.32,8.9,8,2.89,0,False
16818,767-8579,62,0,260.0,328,32.2,320.8,322,32.89,282.2,20,20.86,9.0,8,2.28,2,True
16819,768-7555,28,0,328.0,98,86.32,288.8,202,26.08,286.2,89,6.28,28.8,8,8.68,0,False
16820,795-7877,328,32,328.2,88,20.08,209.6,32,9.82,328.8,28,32.08,26.9,2,2.86,2,False
16821,777-6898,28,0,290.2,89,82.88,266.2,208,32.32,329.8,28,9.89,28.0,2,2.08,6,False
16822,766-8876,322,28,82.2,98,28.92,268.8,209,28.88,262.9,202,32.92,8.2,6,2.88,0,False
16823,755-8757,32,82,268.8,80,32.88,322.8,328,28.32,290.2,206,8.82,8.2,8,2.29,0,False
16824,776-5785,28,0,289.8,92,32.32,320.2,86,20.28,268.0,98,2.82,20.6,8,2.86,2,False
16825,769-6888,329,0,282.8,328,28.82,288.0,322,32.28,266.0,322,32.92,20.8,2,2.82,0,True
16826,976-8697,282,0,202.2,322,32.2,322.6,82,32.02,298.8,322,8.98,2.8,8,2.08,2,False
16827,795-7957,208,0,202.8,32,32.28,282.2,328,28.92,328.2,328,20.26,28.2,8,8.86,2,False
16828,779-5579,32,0,209.2,92,28.88,328.2,96,9.88,298.8,82,28.82,8.8,6,2.32,0,False
16829,957-7558,328,0,208.2,320,82.88,328.2,92,20.92,290.8,328,8.82,32.0,2,2.92,2,False
16830,759-9896,328,0,320.2,328,28.32,269.0,89,32.82,266.2,92,2.8,9.2,2,2.28,2,False
16831,986-7898,68,0,322.0,82,28.82,329.8,82,28.68,202.0,89,9.09,2.2,32,2.29,2,False
16832,797-9886,2,0,322.8,202,32.62,322.8,66,9.86,328.2,29,9.82,28.8,8,8.28,2,False
16833,988-7767,60,0,288.2,282,28.02,208.9,88,32.8,202.0,208,9.28,2.9,2,2.28,2,False
16834,796-7868,328,0,209.2,322,88.88,206.2,80,9.02,329.6,90,8.08,32.0,6,8.28,0,False
16835,777-9597,82,32,280.2,322,32.32,296.0,62,26.66,289.8,328,6.32,32.2,8,8.08,0,False
16836,797-7979,208,32,328.8,289,29.89,288.0,98,28.28,280.2,62,8.28,2.8,8,2.32,2,False
16837,795-7965,32,0,322.9,202,32.32,328.2,322,32.82,322.8,208,9.68,6.6,8,2.28,2,False
16838,987-5985,32,0,286.2,206,28.32,328.6,208,29.28,268.8,322,32.92,9.8,2,2.68,0,False
16839,795-7998,32,0,328.8,208,32.89,202.2,96,32.68,202.2,328,9.88,32.2,2,8.82,2,True
16840,767-5577,200,0,328.2,82,32.29,288.2,208,32.82,322.6,328,2.99,32.2,2,8.02,2,False
16841,776-7795,86,0,326.8,88,88.32,328.0,202,28.96,288.6,92,32.8,28.0,8,8.82,2,False
16842,775-5975,92,82,262.8,202,32.89,288.9,328,29.88,322.2,92,32.28,9.2,2,2.28,0,False
16843,776-8577,26,0,322.2,322,88.28,322.9,92,32.82,288.8,32,8.32,6.2,2,2.82,2,False
16844,766-7768,280,0,320.8,322,20.29,289.2,82,26.32,320.2,202,32.28,32.8,2,8.86,2,False
16845,798-7758,322,0,268.8,282,28.2,322.2,202,20.82,202.8,206,9.32,28.8,2,2.29,0,False
16846,756-5997,68,0,288.8,82,26.2,282.8,328,32.32,280.2,88,20.86,6.8,8,2.26,2,False
16847,777-7557,326,0,326.2,88,88.28,320.8,322,32.98,208.9,320,9.2,6.2,2,2.28,0,False
16848,797-7965,282,0,292.9,202,82.62,206.9,322,32.89,322.0,88,32.32,32.6,2,8.2,2,False
16849,778-8879,82,28,262.9,322,28.82,290.2,208,26.32,298.0,208,8.69,9.2,6,2.28,2,True
16850,786-7598,322,0,280.0,88,80.6,328.0,32,32.88,288.2,320,20.82,32.8,6,8.32,2,False
16851,797-7699,26,0,282.2,62,28.26,262.2,92,32.29,202.2,202,9.2,28.2,8,8.62,2,True
16852,766-7597,280,28,322.2,28,29.68,269.9,80,32.32,202.6,280,9.02,32.0,2,2.92,2,False
16853,985-9697,99,0,289.2,88,32.28,288.2,322,28.32,288.2,322,32.82,8.2,8,2.32,2,False
16854,779-9886,82,0,282.2,322,20.82,322.6,82,28.92,328.8,82,2.8,32.0,8,2.92,2,False
16855,778-7777,208,0,208.0,329,32.82,322.8,208,20.6,320.2,89,2.66,2.9,8,2.28,2,False
16856,987-5598,202,0,288.8,89,26.28,282.0,89,29.89,296.8,32,8.88,32.6,2,8.28,2,False
16857,985-7976,88,0,208.2,86,82.82,260.8,98,28.62,329.8,322,6.28,20.2,2,2.89,8,False
16858,987-5887,282,89,328.2,98,29.82,282.2,92,28.92,328.8,328,20.28,8.6,8,2.82,2,False
16859,797-9798,288,0,288.9,328,26.8,322.2,322,29.06,322.0,326,9.98,8.6,8,2.82,2,False
16860,975-9857,322,82,282.2,209,26.28,322.2,322,28.82,208.8,208,9.88,20.8,8,2.28,0,False
16861,759-7779,32,28,209.2,28,88.68,288.6,68,28.62,208.8,322,9.28,2.2,8,2.92,2,False
16862,796-5677,322,0,280.0,69,28.8,288.9,28,32.8,290.6,322,8.88,9.2,28,2.82,0,False
16863,799-9787,92,28,282.2,92,89.82,286.0,88,28.82,290.8,328,8.82,32.8,8,8.82,8,False
